Iteration,ACO_N20,GA_N20,A*_N20,ACO_N50,GA_N50,A*_N50
0,0.0,541.65,738,0.0,1280.0,1922
1,673.4,580.65,738,1502.65,1331.3,1922
2,688.1,610.2,738,1552.55,1361.9,1922
3,691.0,623.4,738,1573.45,1381.5,1922
4,699.45,641.9,738,1588.75,1410.25,1922
5,707.65,657.5,738,1599.05,1441.95,1922
6,708.25,666.05,738,1600.9,1476.2,1922
7,711.25,676.15,738,1601.3,1521.65,1922
8,714.0,686.45,738,1607.6,1544.55,1922
9,714.3,690.7,738,1617.85,1561.9,1922
10,714.3,694.55,738,1618.6,1574.45,1922
11,714.8,701.0,738,1619.05,1592.1,1922
12,715.25,703.45,738,1619.05,1610.45,1922
13,715.25,708.65,738,1622.6,1618.25,1922
14,715.3,711.55,738,1622.6,1638.85,1922
15,716.45,711.7,738,1626.3,1643.2,1922
16,717.4,717.2,738,1626.3,1651.65,1922
17,717.8,717.3,738,1626.3,1659.85,1922
18,718.15,717.85,738,1626.3,1672.2,1922
19,718.45,718.95,738,1626.3,1681.6,1922
20,718.75,721.35,738,1626.3,1687.6,1922
21,719.8,722.45,738,1626.95,1693.3,1922
22,720.8,723.35,738,1629.1,1695.75,1922
23,721.0,724.85,738,1629.9,1700.25,1922
24,721.0,725.55,738,1630.75,1702.7,1922
25,721.45,727.75,738,1630.75,1707.35,1922
26,721.45,727.75,738,1634.35,1710.2,1922
27,723.05,728.85,738,1641.8,1715.35,1922
28,724.65,728.85,738,1641.8,1727.05,1922
29,724.65,728.85,738,1643.25,1734.2,1922
30,724.65,729.05,738,1643.25,1737.5,1922
31,724.65,729.05,738,1643.25,1741.15,1922
32,724.65,729.35,738,1643.55,1742.65,1922
33,724.65,731.15,738,1643.55,1745.25,1922
34,724.65,731.3,738,1643.55,1748.75,1922
35,725.2,731.3,738,1643.55,1753.25,1922
36,725.2,731.7,738,1643.55,1756.8,1922
37,725.3,731.8,738,1643.55,1759.85,1922
38,725.95,731.8,738,1643.55,1761.85,1922
39,726.25,732.3,738,1651.05,1762.4,1922
40,726.25,732.9,738,1652.35,1762.4,1922
41,726.75,732.9,738,1652.95,1763.4,1922
42,727.05,732.9,738,1655.5,1764.85,1922
43,727.45,732.9,738,1659.15,1764.85,1922
44,727.45,732.9,738,1659.15,1768.85,1922
45,727.5,733.15,738,1659.15,1768.85,1922
46,727.5,733.15,738,1660.75,1768.85,1922
47,727.5,733.55,738,1660.75,1772.85,1922
48,727.65,733.55,738,1661.6,1773.15,1922
49,727.75,734.05,738,1663.3,1773.15,1922
50,727.75,734.05,738,1663.3,1773.15,1922
51,727.75,734.05,738,1663.3,1774.05,1922
52,727.8,734.05,738,1665.45,1775.2,1922
53,727.8,734.05,738,1665.45,1775.2,1922
54,727.8,734.05,738,1665.45,1775.75,1922
55,727.8,734.05,738,1665.45,1775.75,1922
56,727.8,734.05,738,1665.45,1775.75,1922
57,728.2,734.05,738,1665.45,1776.0,1922
58,728.2,734.05,738,1665.45,1776.0,1922
59,728.2,734.05,738,1665.45,1776.0,1922
60,728.2,734.5,738,1665.45,1776.0,1922
61,728.2,734.5,738,1665.45,1776.55,1922
62,728.2,734.5,738,1665.45,1776.55,1922
63,728.2,735.0,738,1665.45,1776.95,1922
64,728.5,735.0,738,1667.55,1776.95,1922
65,728.5,735.0,738,1669.85,1779.7,1922
66,728.5,735.65,738,1669.85,1779.95,1922
67,728.5,735.75,738,1669.85,1779.95,1922
68,728.5,735.75,738,1669.85,1779.95,1922
69,728.5,736.35,738,1670.05,1779.95,1922
70,728.5,736.35,738,1670.05,1779.95,1922
71,728.5,736.35,738,1670.05,1779.95,1922
72,728.5,736.35,738,1671.3,1779.95,1922
73,729.1,736.35,738,1671.3,1780.25,1922
74,729.1,736.35,738,1671.3,1780.25,1922
75,729.1,736.35,738,1671.45,1781.2,1922
76,729.1,736.35,738,1671.45,1781.2,1922
77,729.1,736.35,738,1671.45,1782.4,1922
78,729.1,736.35,738,1671.45,1782.4,1922
79,729.1,736.4,738,1673.1,1782.4,1922
80,730.0,736.4,738,1675.5,1785.7,1922
81,730.0,736.4,738,1675.5,1785.7,1922
82,730.0,736.4,738,1675.5,1785.7,1922
83,730.0,736.4,738,1675.5,1785.7,1922
84,730.0,736.4,738,1675.5,1787.5,1922
85,730.0,736.9,738,1675.5,1787.5,1922
