Iteration,PSO_N20,ABC_N20,FA_N20,CS_N20,GA_N20,HC_N20,ACO_N20,SA_N20,PSO_N50,ABC_N50,FA_N50,CS_N50,GA_N50,HC_N50,ACO_N50,SA_N50
0,-541.2,-526.8,-530.0,-557.8,540.6,-384.2,738.0,-381.4,-1259.4,-1276.8,-1224.2,-1235.4,1281.6,-1134.2,1888.0,-1033.8
1,-593.0,-538.8,-577.0,-564.8,546.0,-415.8,738.0,-383.8,-1374.4,-1307.0,-1245.6,-1235.4,1303.6,-1134.2,1909.2,-1083.8
2,-613.2,-565.8,-579.0,-574.8,567.6,-430.4,738.0,-383.8,-1390.6,-1403.8,-1247.2,-1288.8,1366.4,-1158.2,1916.2,-1092.4
3,-613.2,-582.2,-579.0,-574.8,591.6,-430.4,738.0,-408.8,-1409.2,-1441.0,-1307.4,-1288.8,1415.4,-1166.6,1920.6,-1095.0
4,-625.8,-588.4,-579.0,-574.8,613.6,-448.2,738.0,-435.8,-1440.2,-1441.0,-1307.4,-1288.8,1452.8,-1166.6,1920.6,-1095.0
5,-629.0,-588.4,-601.8,-574.8,626.4,-448.2,738.0,-435.8,-1455.0,-1441.0,-1307.4,-1295.2,1479.2,-1181.2,1920.6,-1105.6
6,-638.0,-588.4,-601.8,-574.8,635.4,-460.2,738.0,-435.8,-1474.6,-1441.0,-1307.4,-1325.0,1493.2,-1181.2,1921.4,-1119.8
7,-638.0,-588.4,-601.8,-574.8,649.6,-460.2,738.0,-448.6,-1493.8,-1441.0,-1326.2,-1346.4,1525.0,-1200.8,1921.4,-1136.2
8,-638.0,-588.4,-601.8,-592.2,678.2,-466.2,738.0,-448.6,-1525.4,-1441.0,-1326.2,-1346.4,1552.8,-1220.4,1922.0,-1137.6
9,-641.6,-599.0,-601.8,-592.2,680.8,-472.2,738.0,-471.2,-1530.0,-1441.0,-1326.2,-1377.8,1577.0,-1220.4,1922.0,-1137.6
10,-641.6,-603.8,-601.8,-592.2,689.2,-472.2,738.0,-480.8,-1530.0,-1441.0,-1326.2,-1379.2,1590.8,-1234.6,1922.0,-1140.8
11,-641.6,-616.2,-601.8,-592.2,707.2,-472.2,738.0,-489.0,-1530.0,-1441.0,-1326.2,-1379.2,1591.0,-1241.6,1922.0,-1158.2
12,-646.2,-616.2,-601.8,-592.2,709.6,-472.2,738.0,-489.0,-1530.0,-1441.0,-1326.2,-1403.2,1604.8,-1241.6,1922.0,-1166.8
13,-648.6,-616.2,-601.8,-598.8,712.2,-472.2,738.0,-495.0,-1530.0,-1441.0,-1326.2,-1403.2,1652.8,-1241.6,1922.0,-1166.8
14,-650.8,-616.2,-601.8,-603.2,719.8,-472.2,738.0,-495.0,-1530.0,-1441.0,-1326.2,-1403.2,1677.4,-1241.6,1922.0,-1170.8
15,-650.8,-616.2,-602.4,-605.6,719.8,-472.2,738.0,-495.0,-1530.0,-1441.0,-1326.2,-1403.2,1696.4,-1241.6,1922.0,-1172.6
16,-650.8,-616.2,-602.4,-605.6,719.8,-472.2,738.0,-501.0,-1530.0,-1441.0,-1326.2,-1403.2,1713.2,-1256.0,1922.0,-1172.6
17,-650.8,-618.0,-602.4,-605.6,719.8,-485.0,738.0,-517.4,-1530.0,-1441.0,-1326.2,-1403.2,1715.0,-1256.0,1922.0,-1178.8
18,-650.8,-618.0,-602.4,-609.0,720.4,-485.0,738.0,-530.2,-1530.0,-1441.0,-1326.2,-1403.2,1724.6,-1272.2,1922.0,-1178.8
