Run,PSO_N20,ABC_N20,FA_N20,CS_N20,GA_N20,HC_N20,ACO_N20,SA_N20,PSO_N50,ABC_N50,FA_N50,CS_N50,GA_N50,HC_N50,ACO_N50,SA_N50
1,728,685,570,610,738,531,738,565,1781,1479,1351,1467,1791,1326,1922,1511
2,720,656,539,616,728,483,738,586,1750,1534,1473,1463,1757,1338,1922,1437
3,720,650,596,651,728,386,738,541,1759,1462,1553,1426,1818,1218,1922,1386
4,719,661,530,607,738,660,738,601,1698,1502,1403,1585,1811,1238,1922,1468
5,738,666,573,608,725,454,738,498,1777,1485,1514,1410,1830,1090,1922,1640
6,738,702,586,655,728,567,738,539,1698,1478,1484,1389,1813,1155,1922,1421
7,725,657,569,608,728,401,738,662,1734,1590,1309,1428,1855,1325,1922,1477
8,738,663,565,606,738,624,738,584,1777,1475,1319,1529,1752,1131,1922,1424
9,728,659,637,637,738,584,738,710,1689,1379,1334,1451,1840,1200,1922,1201
10,738,654,617,625,738,332,738,619,1792,1610,1464,1531,1857,1335,1922,1568
