Algorithm,N_Items,Avg_Fitness,Std_Dev_Fitness,Min_Fitness,Max_Fitness,Avg_Time,Avg_Peak_Mem_MB
PSO,20,-652.6,41.9647471099255,-720,-589,0.10902061462402343,0.03485040664672852
ABC,20,-633.7,14.498620624045584,-655,-607,0.4975287437438965,0.02678651809692383
FA,20,-600.2,20.960916010518243,-651,-578,1.8076651096343994,0.025157833099365236
CS,20,-630.5,32.00078124046349,-696,-591,0.1553213119506836,0.02509002685546875
GA,20,-735.0,4.58257569495584,-738,-728,0.14424474239349366,0.04236326217651367
HC,20,-569.8,61.16011772388932,-665,-473,0.0006591558456420898,0.006730842590332031
ACO,20,-738.0,0.0,-738,-738,2.1499078989028932,0.024444770812988282
SA,20,-572.4,71.19859549176515,-699,-447,0.0009741306304931641,0.006852912902832031
PSO,50,-1635.5,74.58719729283304,-1731,-1509,0.11129617691040039,0.06942672729492187
ABC,50,-1491.1,30.051455871554708,-1529,-1432,0.462528920173645,0.06020288467407227
FA,50,-1375.4,69.25633545026766,-1466,-1252,0.8833343267440796,0.06008825302124023
CS,50,-1439.7,54.16650256385398,-1506,-1360,0.15945038795471192,0.0600433349609375
GA,50,-1809.6,35.2085216957486,-1871,-1745,0.21767568588256836,0.08865795135498047
HC,50,-1277.9,79.26720633401938,-1376,-1154,0.0009337902069091797,0.007407569885253906
ACO,50,-1922.0,0.0,-1922,-1922,4.580827164649963,0.03599958419799805
SA,50,-1311.9,118.0842495847774,-1525,-1093,0.0011380434036254883,0.0075320243835449215
