Iteration,PSO_D10,ABC_D10,FA_D10,CS_D10,GA_D10,HC_D10,SA_D10,ACO_D10,PSO_D30,ABC_D30,FA_D30,CS_D30,GA_D30,HC_D30,SA_D30,ACO_D30
0,119.28887398787731,108.56935129098852,110.40646044783361,110.22420529661747,112.96895813483573,176.07104079323912,184.35027429232105,104.26625146867578,432.93349683103077,440.42687786913655,435.35236769393094,430.8911016256711,425.14671449137376,537.5614099011577,555.0653953084368,423.3824939494913
1,87.40442215333016,97.97590418932892,100.36705642422417,107.67384378785707,103.00837721144357,172.12691832332288,184.35027429232105,98.50944665787817,317.61101508878176,426.6067478569142,411.8010403264492,425.33845339448806,415.2709595412747,525.5950139683366,555.0653953084368,411.3327903273315
2,82.380793199149,89.14916461429125,97.1857531129079,103.54643134706922,89.02668668584974,165.52441617058065,184.35027429232105,90.27034883728906,313.483054980598,419.8146150466015,397.45240678323745,421.65963392225666,382.98722399861515,515.0233117816795,555.0653953084368,401.9160566300944
3,80.50347623165833,83.83745492259611,93.9983078508099,97.7652482559541,74.68539280796323,157.75422225185665,184.35027429232105,88.25408150466622,305.4693239513781,409.94699975386095,385.1252110583081,412.8959211840744,360.90290043163253,514.3419340520037,555.0653953084368,391.7329578881341
4,75.40352607995227,80.08551917398452,93.39384937627219,95.50311863460387,67.97587801027187,156.39672664156666,184.35027429232105,83.45838038654887,301.02918976149357,403.45698153182184,383.12575459031666,402.4940861370734,320.1686596472322,505.6429876231999,555.0653953084368,385.18569961453056
5,74.2877920136535,73.34596443833286,91.38782850053435,93.3825104212473,62.91763769048092,154.24993631773563,184.35027429232105,78.40286798824499,299.73670779628037,390.8092152387591,380.9505104322612,395.7253516471005,304.5357744989621,491.37010930955165,555.0653953084368,383.5203952333215
6,72.32093200292492,67.22458723835933,90.2825668905809,88.44036444709279,53.72657712236651,150.5768253341232,184.3125314534978,77.58631962283847,288.46345864171417,379.32407233666197,378.44386169195883,387.98949486962886,283.37790018757573,490.64780326360307,555.0653953084368,383.5203952333215
7,70.27300755564869,63.494846020206,89.97822223572771,86.54855613883748,49.386639466618675,146.35536850920886,179.63909327770142,72.44618728420969,286.8918250899681,366.7944257705139,376.9562571572861,385.8374108922685,264.91181652199396,489.3897219846003,555.0653953084368,381.34188461477646
8,68.46570148155482,59.73780728305064,88.75830607011417,85.35696987454816,44.83975915792307,143.9853576739747,179.63909327770142,71.78275519622763,282.42812825804197,357.96284844643975,373.41170056812933,382.3977351485672,254.3637718443703,481.25776628388877,555.0653953084368,374.07055224258767
9,66.6862210820009,56.16156812542822,87.71237383061607,82.2062013247914,40.052901812982704,139.98152390565588,179.63909327770142,71.78275519622763,278.7749058168614,349.57150286543555,369.2814472930435,378.28207377643366,236.92380279670633,476.3858114725666,555.0653953084368,373.40756432280176
10,66.6862210820009,50.47260007098434,87.18260692803429,80.80370436467777,36.025155841018986,139.98152390565588,179.41115056639552,69.07028288062867,275.6196882550124,342.9628392695012,367.9963647089696,371.61111039934394,230.1408849551955,476.3858114725666,555.0653953084368,371.22475399385473
11,64.08884821370523,44.01207183762117,86.9778403259144,78.65700241751873,33.89208431814001,139.98152390565588,179.41115056639552,67.89350851395382,270.4702148772848,335.0175659231161,365.94486658275383,370.4137796459444,212.19255551438877,476.3858114725666,555.0653953084368,362.6985406270943
12,63.098163535899914,41.5285955105604,86.9778403259144,78.65700241751873,31.459732543676534,139.98152390565588,177.8447536880752,66.99556406165252,270.4702148772848,325.06709929202077,365.82346490790127,368.89209704833644,201.5967269179588,476.3858114725666,554.7764909670337,358.5053121598288
13,60.14535535337468,40.812641560992745,84.2893110289992,78.44486558817478,29.712426856976684,139.98152390565588,177.8447536880752,66.31238577421769,270.4702148772848,318.6414114731043,365.82346490790127,365.6796335897658,189.81741009445727,476.16957413765704,554.7764909670337,354.2456309577768
14,60.14535535337468,38.89683352709456,83.17629532979299,77.65823383548216,27.112166264650494,139.21682105199548,177.8447536880752,65.28542180120847,269.82184122286327,310.6780023523456,365.82346490790127,364.26938206490064,178.98850695961215,476.16957413765704,554.7764909670337,352.6638079720537
15,60.14535535337468,37.944741792536306,82.08101594623551,77.13568859925826,25.63445322854786,136.87713210397987,177.8447536880752,65.17568049555534,269.46255972932966,303.96114288614547,365.82346490790127,362.61935282666616,172.35198673633462,476.16957413765704,554.7764909670337,352.6638079720537
16,58.88699659045225,36.274127254375585,81.83467171461993,77.13568859925826,24.17288372809097,133.76658547730955,176.75804271033766,63.872102135714385,269.01028627634844,297.82298784210064,364.3688330278986,362.6069569852383,164.32095189237526,476.16957413765704,546.0781601314086,347.7402716772249
17,56.97265129593576,35.337626434586596,81.83467171461993,76.64907758234416,23.369764894712727,133.3033631713566,176.75804271033766,61.79146889716803,267.0839611069047,292.7290825844958,364.35734682711046,361.33523957675686,157.8614267629467,474.28938864887704,546.0781601314086,344.948053735942
18,56.90819712116136,31.222274481707792,80.4735808993187,75.52820480155374,22.319082092179308,132.18980995849205,176.75804271033766,60.37057401263687,264.48026811164317,289.0055047510172,364.35734682711046,359.8370851666274,151.4019624199054,474.28938864887704,541.7207013412974,344.42407762705136
19,56.195746365583204,30.880660308191416,80.4249180181207,74.97080134878698,21.731949551874617,131.05830249369768,176.75804271033766,59.7931634468183,264.48026811164317,281.26096601129603,364.35734682711046,358.76936537015536,143.11120988890573,474.28938864887704,541.7207013412974,344.42407762705136
20,55.43832342035448,30.733297350634434,80.05813471600595,74.97080134878698,21.104148177163147,129.85170706465533,172.67295181721772,56.80779409087354,264.48026811164317,276.84371041338693,364.2226686425315,357.5933191391365,135.87641564014154,472.8369733826712,541.7207013412974,342.5025640635416
21,52.63208520544818,29.94796166113507,78.90734734616588,74.97080134878698,19.892082130797416,129.30615801386904,171.44632563877343,56.80779409087354,262.5916696079483,272.2160611287888,363.26577927515433,355.4301232890556,131.22634469447942,472.8369733826712,534.9274489481886,342.5025640635416
22,51.57143176737454,28.665045221761392,78.83341874697786,74.94502019797665,19.391964833225444,129.30615801386904,168.88288308628609,56.14561049331603,260.3381250364354,264.3347470446097,361.8700959465487,355.3901383834471,124.8045118914529,472.8369733826712,534.9274489481886,337.6274081221318
23,50.97363110474496,28.0641109612228,78.65742988182531,74.43329871488355,18.943841455449064,129.30615801386904,168.0434421142549,55.02476475940275,256.46722839562693,261.1279885190835,361.8700959465487,355.3901383834471,121.9508069465102,468.2978325451845,534.2248507696937,337.6274081221318
24,49.99746488855043,27.11982684082945,78.65742988182531,74.43329871488355,18.386692307367174,129.30615801386904,168.0434421142549,55.02476475940275,256.31101370431634,255.14634872042288,361.8700959465487,355.3209368020451,118.02430233142688,467.0580718974071,533.401802441416,336.407424932702
25,49.98257470690383,26.515287617097396,77.77910366141839,74.43329871488355,17.347738224842523,129.30615801386904,168.0434421142549,53.44838722380056,255.3517100901503,250.32658932976256,361.8700959465487,355.2968249546345,115.71756680411332,467.0580718974071,533.401802441416,335.65975366501345
26,49.2686523672765,24.47434952424726,77.77910366141839,74.43329871488355,16.692466033583123,129.30615801386904,163.01851049122118,53.44838722380056,252.77960563468082,249.07564052397547,361.37764818125964,355.2968249546345,112.69589217490432,467.0580718974071,529.4928917470445,331.0386306430326
27,48.78297704916922,22.806830535015187,77.77910366141839,74.43329871488355,16.12010239046284,128.07597573001854,163.01851049122118,52.9572133598155,251.41648890502307,240.9222948846894,361.2813529575077,355.1483379147623,108.7464745708481,467.0580718974071,528.8440424507041,326.8379025058997
28,48.44579484931378,22.34511928850742,77.77910366141839,74.43329871488355,15.535465685229179,128.07597573001854,161.49799273741962,52.9572133598155,251.03841825222634,234.02063394661468,361.2813529575077,355.1483379147623,106.07727363406113,467.0580718974071,525.7976445277598,326.6679378613852
29,48.44579484931378,22.344173821903365,77.77910366141839,74.43329871488355,15.27917565184462,124.45230108806902,161.49799273741962,52.41345262893837,247.7675914843559,230.7906385740909,361.2813529575077,355.1483379147623,101.61046421060502,466.4268095846076,521.4451789192335,326.4518542599728
30,48.24254366323648,20.70174726269924,77.77910366141839,74.43329871488355,14.756771348569112,124.39744790026161,159.91962880410642,52.41345262893837,247.63481595805538,229.28503367684465,361.2813529575077,353.64216291902767,98.8720476392104,466.4268095846076,521.4451789192335,325.3316074542957
